"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",726676,777.898906803032,5325688,61,416621,307277,2778,139
"mezczyzni",541849,698.793486746308,5325688,61,326719,214063,1067,56
"kobiety",152992,802.319421930558,3152489,61,80956,71617,419,30
"niezdefiniowane",31835,2006.95652583634,4906972,61,8946,21597,1292,53
