"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",812192,775.957297043064,3473103,61,459203,349384,3605,146
"mezczyzni",596628,703.226534792199,3473103,61,357446,237963,1219,69
"kobiety",173165,769.071625328444,685724,61,91062,81616,487,21
"niezdefiniowane",42399,1827.52847944527,2270169,61,10695,29805,1899,56
