"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",509478,847.211930642736,1960017,61,294687,211245,3546,232
"mezczyzni",379314,728.169495457589,1121937,61,233618,144543,1153,108
"kobiety",104457,900.379189522962,1960017,61,55926,48059,472,54
"niezdefiniowane",25707,2387.67833663983,1863170,61,5143,18643,1921,70
