"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",560874,877.094958939084,1811478,61,321137,235203,4534,283
"mezczyzni",417216,744.919981496395,1811478,61,256026,159749,1441,125
"kobiety",112587,894.76719337046,1011111,61,59582,52427,578,65
"niezdefiniowane",31071,2587.88159376911,1439999,61,5529,23027,2515,93
