"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",804125,945.711619462148,2932878,61,424229,371101,8795,356
"mezczyzni",568231,769.428285327622,2932878,61,329016,237118,2097,139
"kobiety",166368,892.707161232929,2258170,61,83344,82190,834,53
"niezdefiniowane",69526,2513.29642148261,2775247,61,11869,51793,5864,164
