"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",889967,764.997161692512,3518067,61,508139,378448,3380,129
"mezczyzni",651548,704.149315169412,3518067,61,390945,259318,1285,60
"kobiety",194802,810.080076179916,2343262,61,102998,91267,537,30
"niezdefiniowane",43617,1472.58940321434,1096997,61,14196,27863,1558,39
