"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",843114,877.397790808835,15962256,61,486392,353340,3382,155
"mezczyzni",621749,788.937272114631,15962256,61,377637,242847,1265,81
"kobiety",181266,885.627475643529,13586276,61,96302,84422,542,30
"niezdefiniowane",40099,2211.80705254495,11749576,61,12453,26071,1575,44
