"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",718994,826.810654887245,19510049,61,423328,293242,2424,124
"mezczyzni",537589,733.099191017673,19510049,61,331051,205540,998,47
"kobiety",151806,831.234615232599,4421929,61,82018,69307,481,34
"niezdefiniowane",29599,2506.14672793,11699746,61,10259,18395,945,43
