"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",3341,2294,1026,21
"19-26",237419,162482,72605,2332
"27-35",731029,510008,215035,5986
"36-50",615050,461063,148450,5537
"50<",538531,263261,90461,184809
