"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",5262,3736,1450,76
"19-26",295806,200531,92309,2966
"27-35",826281,572233,246945,7103
"36-50",645036,483594,155674,5768
"50<",571839,270178,92053,209608
