"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",692,490,195,7
"19-26",79834,59423,19882,529
"27-35",311249,235444,73461,2344
"36-50",318545,251528,64333,2684
"50<",233424,156579,45641,31204
