"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",795,602,183,10
"19-26",84004,62653,20736,615
"27-35",325038,244238,78019,2781
"36-50",338645,263912,72083,2650
"50<",268023,175217,52654,40152
