"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",623,478,137,8
"19-26",73705,55225,17961,519
"27-35",313209,238018,72702,2489
"36-50",335125,264921,67788,2416
"50<",244625,168488,47440,28697
