"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",2181064,1.54673373585611,12.693659456664,0,864984,759349,556731,110
"mezczyzni",1441107,1.51210785113241,12.6163188627949,0,598069,494466,348572,63
"kobiety",543928,1.5991578532032,11.9263905402691,0,201516,194257,148155,24
"niezdefiniowane",196029,1.65582300099625,12.693659456664,0,65399,70626,60004,23
