"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",2125370,1.58296708532505,12.7914242182904,0,811517,744311,569542,109
"mezczyzni",1399108,1.5483354831755,12.2895375461422,0,559374,484268,355466,61
"kobiety",527577,1.62624125523516,12.5673527945856,0,189686,188529,149362,21
"niezdefiniowane",198685,1.71192948752742,12.7914242182904,0,62457,71514,64714,27
