"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",2344224,1.56593562954063,14.0600456343773,0,913757,814975,615492,156
"mezczyzni",1530272,1.5275170903734,12.9173873116722,0,628107,522781,379384,90
"kobiety",588431,1.62056255937707,14.0600456343773,0,213418,209845,165168,24
"niezdefiniowane",225521,1.68409152552345,12.6817983822788,0,72232,82349,70940,42
