"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",24545,2,0,24543
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",8256,6243,2010,3
"27-35",128940,95396,33356,188
"36-50",208115,165858,41573,684
"50<",139622,111815,27518,289
