"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",29826,1,0,29825
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",14512,11267,3241,4
"27-35",146583,109111,37203,269
"36-50",221494,177610,43210,674
"50<",148459,119227,28933,299
