"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",67877,0,0,67877
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",17601,13421,4169,11
"27-35",201244,147682,53284,278
"36-50",309286,243509,64870,907
"50<",208117,163619,44045,453
